platform,country,region,language,category,hashtag,title_keywords,author_handle,sound_type,music_track,week_of_year,duration_sec,views,likes,comments,shares,saves,engagement_rate,trend_label,source_hint,notes,device_type,upload_hour,genre,trend_duration_days,trend_type,engagement_velocity,dislikes,comment_ratio,share_rate,save_rate,like_dislike_ratio,publish_dayofweek,publish_period,event_season,tags,sample_comments,creator_avg_views,creator_tier,season,publish_date_approx,year_month,title,title_length,has_emoji,avg_watch_time_sec,completion_rate,device_brand,traffic_source,is_weekend,row_id,engagement_total,like_rate,dislike_rate,engagement_per_1k,engagement_like_rate,engagement_comment_rate,engagement_share_rate
TikTok,Saudi Arabia,Asia,Arabic,Beauty,#FYP,How to style College,InsideHub,licensed,Ambient glow,24,25,25172,1675,203,230,234,0.09304,seasonal,TikTok Creative Center,emoji overlays,Android,20,Fashion,4,Short,6293.0,76,0.008065,0.009137,0.009296,21.753247,Monday,Evening,Regular,"ootd, grwm, fashion",شرح ممتاز 👏,97125.1,Mid,Winter,09.06.2025,2025-06,GRWM: Minimal Edition 💪,23,1,16.7,0.668,Oppo,ForYou,0,41e5ebc084cc8c9aef655c7cda9c34bd,2342,0.066542,0.003019,93.04,0.0665421897346257,0.0080645161290322,0.0091371365008739
TikTok,Italy,Europe,Italian,Pets,#Fashion,GRWM: Budget Edition,TrueVision,trending,Bark hop,3,36,3413,178,14,19,13,0.065631,declining,TikTok Creative Center,fast captions,Android,20,Fashion,11,Medium,310.27,7,0.004102,0.005567,0.003809,22.25,Tuesday,Evening,Regular,"ootd, fashion, style",So underrated!,106642.8,Mid,Spring,14.01.2025,2025-01,Outfits for Minimal 💪,21,1,23.1,0.642,Huawei,Following,0,ab866119f1c86b6b0acfe3f794049646,224,0.052154,0.002051,65.631,0.0521535306182244,0.0041019630823322,0.0055669498974509
TikTok,Philippines,Asia,Filipino,Music,#AI,AI Tools You Must Try in 2025,BeyondWorks,licensed,LoFi loop,20,18,197328,19000,1586,1697,1172,0.118863,seasonal,Open Web Samples,hook in 2s,Android,15,Tech,6,Short,32888.0,437,0.008037,0.0086,0.005939,43.378995,Friday,Afternoon,BackToSchool,"ai, apps, tutorial, tools, tech",This is fire 🔥,109086.8,Mid,Fall,16.05.2025,2025-05,My Favorite Summer Apps 🎯,25,1,10.4,0.578,iPhone,ForYou,1,c74fd2372ed50b80f60d2b9cc5b2546a,23455,0.096286,0.002215,118.863,0.0962863861185437,0.0080373793886321,0.0085998945917457
TikTok,Canada,North America,English,Automotive,#Fashion,How to style Beginners,VividHub,original,Turbo whoosh,17,71,158077,9832,1283,1185,647,0.081903,rising,TikTok Creative Center,tutorial overlay,iOS,1,Fashion,7,Short,22582.43,411,0.008116,0.007496,0.004093,23.864078,Saturday,Night,Regular,"grwm, ootd, style, fashion",Thanks for this!,107717.7,Mid,Winter,26.04.2025,2025-04,How to style Minimal,20,0,45.2,0.637,iPhone,Search,1,b8ec9c08b1dcb6d7ea8c853a9b97ac9f,12947,0.062198,0.0026,81.903,0.0621975366435344,0.0081162977536263,0.0074963467171062
TikTok,Kenya,Africa,Swahili,Travel,#Relatable,POV: College,ChannelYuki,trending,Waves & bells,31,70,125888,9748,1003,1126,1489,0.106174,seasonal,TikTok Creative Center,jumpcut edits,iOS,22,Comedy,9,Medium,13987.56,422,0.007967,0.008944,0.011828,23.044917,Friday,Evening,BackToSchool,"funny, sketch, comedy, relatable",So underrated!,121476.9,Mid,Fall,01.08.2025,2025-08,If Budget was honest 💪,22,1,45.4,0.649,Vivo,ForYou,1,d4178571a6ed48533e9a832375d98793,13366,0.077434,0.003352,106.174,0.0774339095068632,0.0079673995932892,0.0089444585663446
TikTok,Morocco,Africa,Arabic,Education,#HiddenGems,Hidden Gems of New York,TravelByOmar,licensed,Calm piano,19,37,21257,944,71,80,143,0.05824,seasonal,Public Reports,tutorial overlay,Web,20,Travel,21,Medium,1012.24,16,0.00334,0.003763,0.006727,55.529412,Wednesday,Evening,Regular,"guide, food tour, travel",جامد جدًا 🔥,73052.1,Mid,Winter,07.05.2025,2025-05,Street Food Tour — New York,27,0,21.2,0.573,Desktop,ForYou,0,8779d7e107c7c5ebca8bde24d7cc1521,1238,0.044409,0.000753,58.24,0.0444089005974502,0.0033400762101895,0.0037634661523262
YouTube,Poland,Europe,Polish,Art,#StreetFood,Is Koshari worth the hype?,NoorShorts,licensed,Gallery pad,6,34,116930,4786,559,520,962,0.058385,stable,TikTok Creative Center,hook in 2s,Android,13,Food,7,Short,16704.29,381,0.004781,0.004447,0.008227,12.528796,Wednesday,Afternoon,Regular,"food, recipe, kitchen, fast, street food",Can’t stop watching 😂,87790.4,Mid,Spring,05.02.2025,2025-02,5-Minute Croissant,18,0,20.3,0.597,iPhone,Suggested,0,2d2227afe80ca5d07ada92a7de906bc2,6827,0.04093,0.003258,58.385,0.0409304712220986,0.0047806379885401,0.0044471051056187
TikTok,Italy,Europe,Italian,News,#Relatable,POV: Budget,AhmedPro,original,Ticker bed,14,39,15637,1229,124,111,77,0.098548,declining,Public Reports,storytime,Android,5,Comedy,41,Evergreen,381.39,43,0.00793,0.007099,0.004924,27.931818,Friday,Morning,Regular,"comedy, funny, relatable",This is fire 🔥,110275.8,Mid,Winter,04.04.2025,2025-04,POV: Budget,11,0,24.2,0.621,iPhone,ForYou,1,f66ea4df48d5cbb0f949368dbbdce8bc,1541,0.078596,0.00275,98.548,0.0785956385495939,0.0079299098292511,0.0070985483148941
TikTok,Japan,Asia,Japanese,Music,#FYP,Skincare routine for Productivity,BeyondMedia,licensed,Arabic pop,11,21,37048,2594,346,219,316,0.093797,declining,TikTok Creative Center,hook in 2s,Android,10,Beauty,13,Medium,2849.85,19,0.009339,0.005911,0.008529,129.7,Wednesday,Morning,SummerBreak,"skincare, beauty, grwm, tips",ずっと見ちゃう😂,99253.8,Mid,Summer,12.03.2025,2025-03,GRWM — Evening Look ✨ ✨,23,1,17.3,0.824,Pixel,ForYou,0,d92e51538169361fa1ad238d0ae1cd81,3475,0.070017,0.000513,93.797,0.0700172748866335,0.0093392355862664,0.0059112502699201
TikTok,Kenya,Africa,Swahili,Tech,#CatTok,Morning Routine — 2025,FitnessWithMaya,licensed,Circuit synth,32,18,27389,1994,133,155,241,0.092117,seasonal,Open Web Samples,storytime,Android,16,Pets,29,Evergreen,944.45,69,0.004856,0.005659,0.008799,28.485714,Monday,Afternoon,HolidaySeason,"pets, dogs, cute, cats",This is fire 🔥,109493.7,Mid,Winter,04.08.2025,2025-08,Dog fails you can’t miss 😂,26,1,10.7,0.594,iPhone,ForYou,0,10d27d69b8aad0d38d5d255f9e2f89d2,2523,0.072803,0.002519,92.117,0.0728029500894519,0.004855964073168,0.0056592062506845
